Rank,Player Name,Position,Year,Athletic, Bleacher Report,CBS,Drafttech,ESPN,PFF,PFN,SIS,TANKATHON,,
43,Kamari Ramsey,S,RS JR.,–,40,98,48,88,62,46,69,58,,
44,Romello Height,ED,SR.,80,92,46,40,–,51,100,36,77,,
45,LT Overton,ED,SR.,78,73,109,39,95,48,53,97,55,,
46,Derrick Moore,ED,SR.,52,65,135,63,75,58,80,55,76,,
47,Eli Stowers,TE,RS SR.,48,149,62,44,65,44,128,54,75,,
48,Keionte Scott,S,SR.,76,136,35,86,39,50,38,–,56,,
49,Joshua Josephs,ED,SR.,–,107,78,47,91,61,76,50,66,,
50,Ja'Kobi Lane,WR,JR.,–,91,60,54,54,136,77,38,71,,
51,Davison Igbinosun,CB,SR.,50,59,128,56,46,153,51,74,86,,
52,Zachariah Branch,WR,JR.,75,54,89,43,31,84,–,34,46,,
53,Deontae Lawson,LB,RS SR.,–,58,–,50,59,46,97,53,65,,
54,Malik Muhammad,CB,JR.,90,31,108,60,82,105,86,109,67,,
55,Julian Neal,CB,SR.,–,71,57,82,56,124,74,77,79,,
56,Josiah Trotter,LB,RS SO.,66,77,44,90,–,60,55,–,69,,
57,Michael Trigg,TE,SR.,91,68,65,93,–,74,111,60,83,,
58,Jacob Rodriguez,LB,SR.,64,118,125,72,89,90,108,51,73,,
59,Dani Dennis-Sutton,ED,SR.,68,82,140,53,72,89,155,58,80,,
60,Antonio Williams,WR,RS JR.,61,138,84,85,64,94,106,102,74,,
61,Chandler Rivers,CB,SR.,88,34,–,112,–,68,73,63,89,,
62,Zakee Wheatley,S,SR.,55,35,97,197,83,92,99,78,104,,
63,Jonah Coleman,RB,SR.,–,123,119,80,–,78,59,61,82,,
64,Emmett Johnson,RB,JR.,92,43,–,133,–,82,66,98,85,,
65,Will Lee III,CB,SR.,–,74,100,147,–,102,72,81,93,,
66,Jack Endries,TE,JR.,–,55,92,106,100,71,156,134,98,,
67,Garrett Nussmeier,QB,RS SR.,82,56,150,77,–,81,180,86,111,,
68,Anthony Lucas,ED,SR.,–,167,87,92,–,69,90,116,87,,
69,Malachi Fields,WR,SR.,49,26,–,71,–,97,187,–,72,,
70,Genesis Smith,S,JR.,72,94,51,219,–,104,54,–,88,,
71,Kaytron Allen,RB,SR.,–,80,137,98,98,116,119,114,103,,
72,Carson Beck,QB,RS SR.,–,97,–,68,58,91,212,94,92,,
73,Taurean York,LB,JR.,–,102,–,102,–,80,85,117,96,,
74,Deion Burks,WR,RS SR.,–,46,–,95,–,87,161,107,90,,
75,Ted Hurst,WR,SR.,62,64,–,103,–,150,89,–,109,,
76,Malachi Lawrence,ED,SR.,93,-,40,128,81,154,60,-,105,,
77,Daylen Everette,CB,SR.,-,84,139,76,-,72,-,68,108,,
78,Kyle Louis,LB,RS JR.,70,179,107,83,67,161,-,52,126,,
79,Jaishawn Barham,ED,SR.,-,-,58,138,-,100,82,99,112,,
80,Jalon Kilgore,S,JR.,-,53,-,221,97,135,127,71,116,,
81,Skyler Bell,WR,RS SR.,-,116,-,135,-,79,68,-,99,,
82,Joe Royer,TE,RS SR.,-,147,136,176,48,117,121,133,141,,
