player_id,source,rank,weight
106,PFF,74,1.2
106,NFL Draft Buzz,104,0.9
106,PFN,112,0.9
106,TANKATHON,95,0.9
107,NFL Draft Buzz,95,0.9
107,PFN,95,0.9
107,TANKATHON,86,0.9
108,PFF,106,1.2
108,NFL Draft Buzz,91,0.9
108,TANKATHON,107,0.9
109,PFN,92,0.9
109,TANKATHON,93,0.9
110,PFF,123,1.2
110,NFL Draft Buzz,108,0.9
110,PFN,89,0.9
110,TANKATHON,105,0.9
110,Mel Kiper,99,1.1
110,Field Yates,120,1
110,Matt Miller,104,1
110,Daniel Jeremiah,102,1.1
110,Charlie Campbell,86,1
111,PFF,149,1.2
111,NFL Draft Buzz,111,0.9
111,PFN,46,0.9
111,TANKATHON,105,0.9
112,PFF,136,1.2
112,PFN,76,0.9
112,TANKATHON,104,0.9
113,PFN,94,0.9
114,PFF,123,1.2
114,NFL Draft Buzz,84,0.9
114,PFN,127,0.9
114,TANKATHON,84,0.9
115,PFF,142,1.2
115,NFL Draft Buzz,126,0.9
115,PFN,103,0.9
115,TANKATHON,130,0.9
115,Charlie Campbell,45,1
116,PFF,134,1.2
116,NFL Draft Buzz,98,0.9
116,PFN,85,0.9
116,TANKATHON,123,0.9
117,PFF,170,1.2
117,PFN,77,0.9
118,PFF,167,1.2
118,NFL Draft Buzz,137,0.9
118,PFN,36,0.9
118,TANKATHON,111,0.9
119,PFF,145,1.2
119,NFL Draft Buzz,121,0.9
119,PFN,67,0.9
119,TANKATHON,115,0.9
120,PFF,122,1.2
120,NFL Draft Buzz,110,0.9
120,PFN,165,0.9
120,TANKATHON,98,0.9
120,Charlie Campbell,59,1
121,PFF,135,1.2
121,NFL Draft Buzz,106,0.9
122,PFF,165,1.2
122,NFL Draft Buzz,109,0.9
122,TANKATHON,135,0.9
122,Charlie Campbell,52,1
123,PFF,109,1.2
123,NFL Draft Buzz,107,0.9
123,PFN,107,0.9
123,TANKATHON,119,0.9
124,PFF,154,1.2
124,NFL Draft Buzz,97,0.9
