Rank,Player Name,Position,College,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
450,Cormani McLain,CB,,,,,,,223,,,,,,,,,
453,Devonta Smith,CB,,,,,,,227,,,,,,,,,
455,Ceyair Wright,CB,,,,,,,230,,,,,,,,,
462,Avante Dickerson,CB,,,,,,,241,,,,,,,,,
463,Latrell McCutchin Sr.,CB,,,,,,,243,,,,,,,,,
464,Malcom Greene,CB,,,,,,,248,,,,,,,,,
468,Makari Vickers,CB,,,,,,,253,,,,,,,,,
471,Nyland Green,CB,,,,,,,260,,,,,,,,,
475,Karon Prunty,CB,,,,,,,266,,,,,,,,,
479,Jaylin Davies,CB,,,,,,,279,,,,,,,,,
485,DJ Graham II,CB,,,,,,,287,,,,,,,,,
489,Jeremiah Walker,CB,,,,,,,293,,,,,,,,,
495,Rodrick Pleasent,CB,,,,,,,303,,,,,,,,,
498,Damarius McGhee,CB,,,,,,,306,,,,,,,,,
500,Prophet Brown,CB,,,,,,,311,,,,,,,,,
501,Demorie Tate,CB,,,,,,,315,,,,,,,,,
17,Kayden McDonald,DL,Ohio State,Junior,6'3,326,5.15,21,21,17,17,15,,26,,,,
27,Christen Miller,DL,Georgia,Junior,6'4,305,4.9,30,22,25,28,,,34,,,,
57,Domonique Orange,DL,Iowa State,Senior,6'4,325,5.3,65,61,89,59,,,35,,,,
66,Dontay Corleone,DL,Cincinnati,Senior,6'1,335,5.1,59,31,126,80,,,,,,,
106,Ahmad Moten Sr.,DL,Miami (FL),Senior,6'3,324,,57,,114,96,,,,,,,
103,Tim Keenan III,DL,Alabama,Senior,6'2,320,5.2,129,108,134,97,,,,,,,
124,Gracen Halton,DL,Oklahoma,Senior,6'2,292,4.86,232,142,,118,,,,,,,
185,Skyler Gill-Howard,DL,Texas Tech,Senior,6'1,290,4.9,109,107,107,119,,,,,,,
131,Zxavian Harris,DL,Mississippi,Senior,6'8,330,,176,,97,124,,,,,,,
150,Albert Regis,DL,Texas A&M,Senior,6'1,317,4.85,119,124,,125,,,,,,,
391,Chris McClellon,DL,Missouri,Senior,6'4,323,,328,,132,126,,,,,,,
